DEPTH,AT20,AT60,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMED,RSHAL
466.7512,,,,,,,,,,,,,
466.9036,,,,,,,,,,,,,
467.056,,,,,,,,,,,,,
467.2084,,,,,,,,,,,,,
467.3608,,,,,,,,,,,,,
467.5132,,,,,,,,,,,,,
467.6656,,,,,,,,,,,,,
467.818,,,,,,,,,,,,,
467.9704,,,,,,,,,,,,,
468.1228,,,,,,,,,,,,,
468.2752,,,,,,,,,,,,,
468.4276,,,,,,,,,,,,,
468.58,,,,,,,,,,,,,
468.7324,,,,,,,,,,,,,
468.8848,,,,,,,,,,,,,
469.0372,,,,,,,,,,,,,
469.1896,,,,,,,,,,,,,
469.342,,,,,,,,,,,,,
469.4944,,,,,,,,,,,,,
469.6468,,,,,,,,,,,,,
469.7992,,,,,,,,,,,,,
469.9516,,,,,,,,,,,,,
470.104,,,,,,,,,,,,,
470.2564,,,,,,,,,,,,,
470.4088,,,,,,,,,,,,,
