DEPTH,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMIC,RSHAL
1593.3952,16.0534,0.0431,1.7074,138.9077,205.1156,82.1364,0.5322,4.2895,1.6146,0.9784,1.3842
1593.5476,15.9688,0.0443,1.7104,139.452,205.7842,80.8105,0.5106,3.9404,1.5834,0.942,1.3684
1593.7,15.9549,0.0485,1.6866,140.307,211.5926,78.8186,0.5356,3.8993,1.5509,1.0588,1.3723
1593.8524,15.9733,0.048,1.6556,142.8459,224.8418,75.9123,0.5462,3.8275,1.4995,1.1832,1.3393
1594.0048,15.9366,0.0447,1.6124,144.4375,221.1761,74.3502,0.5669,4.0441,1.473,1.0044,1.3438
1594.1572,15.9417,0.0326,1.5881,145.8899,225.125,73.996,0.5624,3.6492,1.4787,0.9562,1.3328
1594.3096,15.9409,0.0226,1.568,146.3859,225.6315,73.5794,0.5501,3.5264,1.4835,0.9689,1.3407
1594.462,16.1016,0.0143,1.5653,145.3597,217.0205,74.5688,0.5602,4.0424,1.5088,1.0458,1.3514
1594.6144,16.1313,0.0094,1.5549,145.7513,212.2087,74.2592,0.5584,3.836,1.543,1.0372,1.3795
1594.7668,16.1168,0.004,1.5208,147.8744,219.64,75.8734,0.5437,4.1443,1.6317,1.0229,1.4287
1594.9192,16.1155,0.0044,1.5177,151.8008,217.5469,75.1444,0.5325,3.4668,1.6983,1.0279,1.4991
1595.0716,16.1732,0.0071,1.4877,154.2428,216.9232,72.6205,0.5587,3.2155,1.8516,1.0576,1.6134
1595.224,16.2069,0.0103,1.4962,154.3421,220.1915,67.882,0.6,3.3893,1.9317,1.1067,1.7134
1595.3764,16.136,0.0133,1.5085,153.9647,217.909,62.9294,0.5885,3.3316,2.3386,1.4701,2.0375
1595.5288,16.0862,0.0136,1.502,152.7733,220.928,62.727,0.5706,3.7928,2.9018,1.6659,2.5238
1595.6812,16.1811,0.0101,1.4697,152.7334,225.4613,58.6655,0.5499,3.3293,3.3276,2.1705,2.8603
1595.8336,16.2521,0.0089,1.4104,151.1527,221.1813,54.567,0.577,3.2692,3.4057,1.7257,2.8838
1595.986,16.2363,0.0094,1.4017,147.5426,222.9444,46.7748,0.5891,2.8474,2.7829,3.3565,2.4015
1596.1384,16.2363,0.0078,1.3915,143.5358,226.1622,45.4435,0.605,2.7572,2.3436,4.024,2.0519
1596.2908,15.7015,0.0044,1.3718,142.3661,227.938,45.7987,0.5821,2.9513,2.0595,2.198,1.8213
1596.4432,15.4177,0.0054,1.3609,137.0536,228.9804,51.7188,0.5951,3.5102,1.8739,1.1718,1.6633
1596.5956,15.2081,0.002,1.3747,132.82,229.9264,59.3085,0.5864,4.0223,1.7746,0.9167,1.6378
1596.748,15.0896,-0.0006,1.4426,130.4714,231.3321,68.1085,0.577,4.509,1.9147,0.9287,1.7205
1596.9004,15.0637,-0.0021,1.5042,121.0487,234.1812,72.8433,0.5269,4.7282,1.9196,0.9935,1.7222
1597.0528,15.0546,-0.001,1.5477,118.6007,234.3658,75.2215,0.5206,5.0161,1.8533,1.0377,1.696
1597.2052,14.899,-0.0023,1.5695,140.778,227.5831,77.5126,0.5194,5.193,1.7234,0.9384,1.6027
1597.3576,14.7533,-0.0019,1.5854,144.1103,229.4891,78.0906,0.4914,4.9814,1.6853,1.0454,1.5405
1597.51,14.7039,0.0005,1.5678,146.7061,229.4693,78.04,0.5023,4.3801,1.7427,1.1805,1.5747
1597.6624,14.6205,0.002,1.4996,148.4475,231.6,74.0305,0.4998,3.9032,1.9198,1.143,1.7547
1597.8148,14.7397,0.0046,1.4517,148.6094,226.5276,67.7903,0.535,3.6931,2.0735,1.6898,1.8513
1597.9672,15.1641,0.0059,1.4236,147.5893,223.1503,61.6165,0.5437,3.6133,2.0782,2.6023,1.8925
1598.1196,15.4684,0.0078,1.419,146.4987,217.9532,54.4189,0.5705,3.5803,1.9678,1.7529,1.8201
1598.272,15.5275,0.0123,1.4312,145.0184,215.9896,50.8982,0.5877,3.2572,1.7695,1.1936,1.6397
1598.4244,15.677,0.0185,1.466,143.9002,206.3624,48.382,0.5867,3.3172,1.4985,0.879,1.3983
1598.5768,15.6662,0.0413,1.5697,147.2064,202.937,51.381,0.5692,3.7603,1.3947,0.7843,1.3226
1598.7292,15.5467,0.0714,1.7007,150.5193,203.806,57.1261,0.5584,4.1852,1.4182,0.7839,1.3318
1598.8816,15.3974,0.0881,1.7699,152.0193,209.4243,60.841,0.5505,3.9999,1.6487,0.8121,1.5361
1599.034,15.4021,0.0902,1.761,154.8192,208.5143,59.5103,0.5779,3.5664,2.0484,0.914,1.8784
1599.1864,15.5598,0.0949,1.7282,157.2997,206.3984,52.5462,0.6097,3.6341,2.3846,1.7304,2.1476
1599.3388,15.6438,0.0837,1.6958,157.0964,210.4048,46.0355,0.5952,3.0508,2.5889,3.4717,2.3276
1599.4912,15.6449,0.0586,1.5983,155.2859,215.3891,41.0305,0.6136,2.6754,2.2255,3.4129,2.0368
1599.6436,15.6418,0.0422,1.4923,152.6247,213.1463,39.462,0.5882,2.6269,2.083,1.8093,1.8908
1599.796,15.6477,0.0375,1.4523,149.2431,211.0628,40.4873,0.6014,3.2692,2.1244,1.0311,1.8992
1599.9484,15.9282,0.0411,1.5017,147.4626,217.5101,42.2185,0.5814,4.3185,2.3046,1.0014,2.0325
