DEPTH,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP
1628.8012,12.2181,-0.0125,2.2156,114.8,252.9709,75.037,0.4365,3.122,2.1485,2.214,1.912,-237.4375
1628.9536,12.2155,-0.0084,2.2056,115.0,250.344,73.2458,0.4182,3.0917,2.1179,2.1924,1.8874,-238.625
1629.106,12.2174,-0.0086,2.2004,115.3,255.5994,74.9486,0.4137,3.1924,2.1212,2.0835,1.8921,-239.1875
1629.2584,12.2033,-0.0062,2.1932,114.75,259.321,76.2072,0.4324,3.1418,2.103,2.0271,1.8747,-239.1875
1629.4108,12.2199,-0.0044,2.1908,114.75,259.9486,74.5566,0.4445,3.2289,2.0833,2.0569,1.8621,-237.8125
1629.5632,12.2101,-0.0025,2.1855,116.2,264.0175,72.5749,0.4688,3.2333,2.0934,2.0023,1.8542,-235.6875
1629.7156,12.2045,-0.0028,2.1773,115.9,266.9703,69.7394,0.4553,3.281,2.1194,1.7439,1.8913,-235.3125
1629.868,12.1948,-0.0051,2.1689,115.7,247.6364,71.9678,0.4586,3.2946,2.1565,1.777,1.9169,-235.8125
1630.0204,12.2019,-0.01,2.164,116.05,233.8108,71.8724,0.4213,3.2545,2.2662,2.5995,1.9904,-236.875
1630.1728,12.1956,-0.014,2.1632,114.75,223.3473,67.8165,0.4295,3.338,2.3985,2.698,2.1025,-238.875
1630.3252,12.1897,-0.0138,2.1767,114.25,219.3468,64.7309,0.4167,3.3568,2.4395,2.6776,2.1432,-239.5
1630.4776,12.2045,-0.0141,2.1809,113.7,220.4839,59.5107,0.4205,3.5478,2.5105,2.9667,2.1891,-238.5625
1630.63,12.2126,-0.0093,2.1973,113.6,227.0919,61.0836,0.4119,3.5063,2.568,3.0277,2.2474,-238.6875
1630.7824,12.2174,-0.0092,2.1927,112.85,233.8536,62.2562,0.4301,3.4198,2.575,3.2508,2.2481,-236.25
