DEPTH,CALI,DENC,DENS,DTC,DTS1,DTS2,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP
1792.352,12.2968,-0.0176,2.1275,114.8009,241.4117,247.4904,46.4963,0.3302,2.5334,0.8017,0.6143,0.66,-6.6875
1792.5044,12.2843,-0.0222,2.1135,114.91,238.6574,240.4853,47.8884,0.3348,2.5971,0.7777,0.6049,0.6468,-6.5
1792.6568,12.3041,-0.0231,2.1077,114.2778,232.7093,229.0519,49.1945,0.3331,2.7269,0.7763,0.7257,0.6499,-5.6875
1792.8092,12.3078,-0.0203,2.1213,113.1226,227.9762,215.6711,59.7348,0.3221,3.0219,0.9078,0.7567,0.7419,-5.5
1792.9616,12.0795,-0.0111,2.1644,112.7529,222.3522,214.6363,67.5372,0.3412,3.4474,1.1065,0.704,0.9061,-6.6875
1793.114,12.5231,-0.0021,2.221,112.6421,221.6351,221.2602,73.4714,0.3719,3.6262,1.555,2.3025,1.2318,-7.75
1793.2664,12.5319,0.0047,2.2566,112.52,226.1672,225.5777,73.3412,0.4136,3.5065,2.1582,2.6554,1.6664,-9.25
1793.4188,12.5013,0.0047,2.2662,111.5423,241.6133,230.9665,78.7809,0.4265,3.3391,2.0271,1.7541,1.5577,-9.4375
1793.5712,12.4386,0.0024,2.2543,111.9292,248.6728,246.0525,69.6133,0.4066,3.0006,1.7585,1.6001,1.3788,-9.5
1793.7236,12.3212,-0.0014,2.2143,111.4473,246.1717,248.6845,69.2041,0.3519,2.879,1.2703,0.6266,1.0185,-8.1875
1793.876,12.3138,-0.0062,2.1705,110.9992,245.6422,239.1025,57.8615,0.3231,2.8667,0.9446,0.6041,0.7629,-6.125
1794.0284,12.318,-0.0085,2.1352,110.4109,245.8912,233.7576,51.0532,0.3236,2.9773,0.863,0.6037,0.7,-5.4375
1794.1808,12.3054,-0.0078,2.1307,110.557,244.3194,227.308,52.8386,0.3502,2.9751,0.8543,0.5964,0.6908,-5.75
1794.3332,12.2574,-0.008,2.127,110.7389,235.0422,225.2547,53.328,0.337,2.7822,0.8591,0.5749,0.6803,-4.375
1794.4856,12.2562,-0.0092,2.1239,111.32,227.9887,224.3648,50.1764,0.3263,2.6669,0.8379,0.5708,0.6581,-3.75
1794.638,12.2798,-0.0082,2.1261,110.3224,221.9793,214.8099,52.0244,0.3171,2.5952,0.8224,0.521,0.6599,-4.0
1794.7904,12.373,-0.016,2.1396,110.4043,227.8225,217.7566,51.3252,0.3206,2.6628,0.8422,0.5411,0.676,-4.1875
1794.9428,11.972,-0.0119,2.1439,111.7212,230.7386,205.561,50.5865,0.3249,2.7862,0.892,0.5489,0.7032,-3.875
1795.0952,12.4659,-0.0077,2.1433,111.0092,221.175,206.9021,51.6339,0.3252,2.9831,0.9148,0.51,0.7292,-3.625
1795.2476,12.3972,-0.0108,2.1119,110.3956,220.4216,209.4373,54.1734,0.3596,2.9986,0.9347,0.5034,0.7493,-3.5625
1795.4,12.3972,-0.0142,2.104,110.7393,219.8294,210.8379,54.3683,0.3791,2.8477,0.9405,0.5979,0.7545,-3.9375
1795.5524,12.431,-0.0064,2.1216,110.2566,218.9503,214.9986,49.6713,0.3838,2.6319,0.9113,0.6099,0.7201,-3.8125
1795.7048,12.4889,-0.0072,2.1355,112.5769,219.4675,221.059,50.983,0.3669,2.5351,0.9103,0.6128,0.7294,-3.1875
1795.8572,12.5274,-0.0114,2.1409,112.9848,213.8022,223.2478,49.0935,0.3552,2.5333,0.8828,0.6104,0.6955,-4.1875
1796.0096,12.5324,-0.0119,2.1372,112.034,212.3238,224.3292,50.4724,0.3611,2.6021,0.8549,0.5748,0.6702,-3.8125
1796.162,12.535,-0.0069,2.1363,111.4115,210.3606,228.8246,51.6028,0.3775,2.7304,0.8498,0.5636,0.6682,-3.875
1796.3144,12.5336,-0.0053,2.1395,110.272,223.747,221.5496,53.115,0.3716,2.8459,0.8363,0.5076,0.6687,-4.625
1796.4668,12.5112,-0.0088,2.1367,109.7943,223.4095,220.7897,55.4831,0.369,2.8186,0.8354,0.5001,0.6657,-4.25
1796.6192,12.3723,-0.0112,2.1377,109.698,225.9078,222.8852,57.1638,0.363,2.7811,0.8687,0.5627,0.6941,-3.875
1796.7716,12.2736,-0.0156,2.1317,110.2233,225.688,222.8147,57.4062,0.3793,2.8099,0.8889,0.7417,0.7236,-4.4375
1796.924,12.2757,-0.0207,2.1295,109.9002,228.9013,221.7275,59.4707,0.3776,2.8274,0.9603,0.746,0.7799,-4.5625
1797.0764,12.2733,-0.0212,2.1315,110.585,225.8808,220.0949,56.8606,0.3799,2.7843,1.0309,0.8281,0.8404,-5.0
1797.2288,12.274,-0.0172,2.1349,110.5531,230.0797,221.4547,59.5026,0.3644,2.6476,0.9895,0.8605,0.8066,-5.0
1797.3812,12.2691,-0.0136,2.1299,111.1023,237.7624,217.7597,48.5472,0.3505,2.6375,0.8638,0.7027,0.732,-5.4375
1797.5336,12.2736,-0.0106,2.1273,111.5535,245.0075,219.3131,47.9163,0.3441,2.6123,0.8076,0.6736,0.6953,-6.25
1797.686,12.2853,-0.0084,2.1256,112.1217,240.2273,223.2532,48.215,0.3476,2.7285,0.7961,0.5574,0.68,-6.5
1797.8384,12.2886,-0.0035,2.148,114.3184,238.8107,215.4097,61.7964,0.3511,2.8806,1.0335,0.5661,0.8617,-7.5625
1797.9908,12.402,-0.0007,2.1871,114.9102,237.3671,215.1463,63.1327,0.3565,3.1378,1.3019,2.3224,1.0659,-10.0
1798.1432,12.558,0.0017,2.2311,114.7073,239.4951,219.8319,69.2409,0.3706,3.2847,1.5512,2.4676,1.2577,-11.4375
1798.2956,12.7133,0.0051,2.2553,113.9583,239.1939,220.6813,80.682,0.4039,3.3265,1.8816,2.5101,1.5565,-12.8125
1798.448,12.7329,0.0066,2.2477,115.5751,243.1953,253.7003,71.7268,0.4229,3.354,1.7995,2.1583,1.5285,-15.25
1798.6004,12.7933,0.0017,2.2364,115.389,245.8409,259.9235,73.1737,0.4417,3.3274,1.7441,1.5376,1.508,-16.5625
1798.7528,12.6681,-0.001,2.2373,117.7978,271.4472,267.0351,75.8475,0.4282,3.2812,1.7428,1.3056,1.4886,-17.625
1798.9052,12.6449,-0.0029,2.2457,117.1537,275.0076,268.9086,75.1864,0.4228,3.2922,1.7466,1.3943,1.5024,-18.0
1799.0576,12.6175,-0.0057,2.2511,117.8981,274.3083,269.4279,78.7532,0.4,3.3151,1.7692,1.9673,1.5425,-18.9375
1799.21,12.5752,-0.0106,2.2518,116.7886,267.9133,263.2415,77.6926,0.3962,3.3014,1.7624,1.9703,1.541,-19.6875
1799.3624,12.5561,-0.0093,2.2475,113.2649,254.4883,258.7981,77.1336,0.3853,3.2638,1.7885,1.7642,1.554,-20.6875
1799.5148,12.53,-0.0081,2.2506,112.1567,252.1636,252.95,79.8383,0.3893,3.2371,1.8001,1.7514,1.585,-20.5625
1799.6672,12.4793,-0.0043,2.2527,111.9664,250.786,251.7313,79.8865,0.3934,3.2264,1.7694,1.7013,1.5848,-20.8125
1799.8196,12.3996,-0.0022,2.2602,111.6033,257.7115,250.4883,79.5387,0.3977,3.2441,1.7492,1.7102,1.564,-21.8125
1799.972,12.3972,-0.0039,2.253,112.0679,251.3487,256.0792,74.8374,0.403,3.2568,1.7427,1.6189,1.56,-21.375
1800.1244,12.3987,-0.006,2.2472,114.6834,253.1025,251.4106,76.1316,0.4108,3.238,1.71,1.6046,1.5502,-22.25
1800.2768,12.3956,-0.0069,2.2454,111.7626,252.4596,249.7635,78.153,0.4121,3.2053,1.7095,1.538,1.5565,-22.4375
1800.4292,12.3764,-0.0086,2.2385,111.5428,251.5731,249.7164,76.4762,0.4136,3.2208,1.7071,1.5568,1.5474,-22.375
1800.5816,12.3676,-0.0121,2.2302,111.7246,250.4254,253.1908,74.0967,0.4072,3.1953,1.7154,1.581,1.5693,-22.75
1800.734,12.3454,-0.0063,2.2082,113.6418,249.9847,251.0892,76.6304,0.4194,3.2557,1.6398,1.6688,1.5223,-22.5625
1800.8864,12.3573,-0.0077,2.2,112.38,254.598,246.1503,74.8746,0.4318,3.2063,1.6012,1.6803,1.4924,-22.9375
1801.0388,12.3588,-0.009,2.1913,113.4622,265.9559,249.257,74.9964,0.4242,3.246,1.6167,1.7964,1.502,-22.6875
1801.1912,12.4733,-0.0062,2.2189,114.0262,275.7558,258.5894,76.5656,0.3959,3.3103,1.6482,1.8821,1.5383,-22.875
1801.3436,12.4689,0.0085,2.2188,114.6482,275.6801,258.9891,77.3062,0.3716,3.5184,1.6399,1.4246,1.5374,-23.625
1801.496,12.5059,0.0074,2.1899,115.5722,273.4515,264.2281,77.2607,0.4173,3.5762,1.6773,1.3384,1.5656,-23.6875
1801.6484,12.57,0.0109,2.1549,116.2258,270.3568,265.5078,75.2667,0.4274,3.4096,1.6509,2.3535,1.5504,-23.0
1801.8008,12.6113,0.0229,2.1638,116.5431,264.3675,268.9346,74.6627,0.4352,3.2608,1.5967,2.3182,1.5179,-23.3125
1801.9532,12.6556,0.0353,2.1833,116.653,261.6714,256.014,76.6658,0.4278,3.2251,1.6128,2.613,1.5342,-22.875
1802.1056,12.7981,0.0158,2.1729,117.9013,260.0798,252.5368,76.0396,0.4313,3.2931,1.6154,3.2605,1.5364,-22.5
1802.258,12.8083,0.0068,2.1689,115.5613,262.4928,253.8521,77.4879,0.4401,3.2679,1.6063,2.0919,1.5448,-23.0625
1802.4104,12.9684,0.0176,2.1547,116.2683,261.7966,258.3474,77.9515,0.4139,3.4374,1.6383,1.2193,1.5756,-23.375
1802.5628,12.8121,0.0331,2.15,116.5195,267.3033,262.9779,77.7138,0.4307,3.5192,1.6528,0.8964,1.5744,-22.875
1802.7152,12.6994,0.034,2.1274,117.4621,266.2333,264.3674,75.1201,0.4109,3.6627,1.6536,1.0517,1.5755,-23.0
1802.8676,12.7459,0.0386,2.1698,117.9081,266.9125,269.8606,76.6322,0.4183,3.4491,1.6712,0.9778,1.6004,-23.375
1803.02,13.1073,0.0579,2.2141,117.9474,261.5547,267.3583,80.865,0.3924,3.3415,1.6894,1.353,1.6193,-23.125
1803.1724,12.7776,0.0415,2.2185,117.8619,272.4241,262.532,79.6284,0.4135,3.3683,1.6874,1.032,1.6081,-23.3125
